,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1795,BMW,1 Series,,2018,Manual,Petrol,"33,000 km",1st,"29,00,000",karnataka
1796,Ford,Fiesta,,2009,Manual,Petrol,"125,000 km",3rd,"1,50,000",karnataka
1797,Hyundai,Santro,,2007,Manual,Petrol,"80,000 km",3rd,"1,50,000",karnataka
1798,Mahindra,Scorpio,,2013,Manual,Diesel,"133,761 km",2nd,"7,00,000",karnataka
1799,Maruti Suzuki,Alto 800,,2017,Manual,Petrol,"48,000 km",1st,"3,20,000",karnataka
1800,Ford,Endeavour,,2018,Automatic,Diesel,"40,000 km",1st,"31,00,000",karnataka
1801,Ford,Ecosport,,2015,Manual,Petrol,"58,000 km",1st,"7,25,000",karnataka
1802,Audi,A8 L,,2020,Automatic,Petrol,"2,297 km",-,"1,65,00,000",karnataka
1803,Maruti Suzuki,Zen,,1999,Automatic,Petrol,"72,610 km",2nd,"50,000",karnataka
1804,Honda,City ZX,,2016,Automatic,Diesel,"100,000 km",3rd,"2,50,000",karnataka
1805,Hyundai,Grand i10,,2018,Automatic,Petrol,"26,000 km",1st,"6,50,000",karnataka
1806,-,-,,-,-,-,-,-,-,karnataka
1807,Maruti Suzuki,Wagon R,,2012,Manual,Petrol,"58,700 km",1st,"3,55,000",karnataka
1808,Maruti Suzuki,Zen Estilo,,2012,Manual,Petrol,"46,300 km",1st,"2,98,998",karnataka
1809,Maruti Suzuki,Alto K10,,2010,Manual,Petrol,"48,997 km",1st,"2,65,000",karnataka
1810,Toyota,Innova,,2009,Manual,Diesel,"188,293 km",2nd,"6,50,000",karnataka
1811,-,-,,-,-,-,-,-,-,karnataka
1812,Maruti Suzuki,800,,2006,Manual,Petrol,"75,000 km",2nd,"95,000",karnataka
1813,Volkswagen,Vento,,2012,Manual,Diesel,"139,000 km",2nd,"4,80,000",karnataka
1814,-,-,,-,-,-,-,-,-,karnataka
1815,Honda,Amaze,,2014,-,-,"36,000 km",1st,"5,40,000",karnataka
1816,Volkswagen,Polo,,2014,-,-,"47,000 km",1st,"6,20,000",karnataka
1817,Hyundai,i20,,2012,Manual,Petrol,"72,000 km",2nd,"4,55,000",karnataka
1818,Tata,Indica V2 Turbo,,2008,Manual,Diesel,"90,000 km",4th,"99,999",karnataka
1819,Maruti Suzuki,Eeco,,2010,-,-,"83,000 km",1st,"2,70,000",karnataka
1820,Skoda,Rapid,,2012,Manual,Diesel,"76,590 km",2nd,"4,80,000",karnataka
1821,Ford,Ecosport,,2013,Manual,Diesel,"85,000 km",2nd,"5,25,000",karnataka
1822,Toyota,Corolla Altis,,2010,Manual,Petrol,"72,000 km",2nd,"4,20,000",karnataka
1823,Hyundai,Grand i10,,2014,Manual,Petrol,"61,000 km",2nd,"4,10,000",karnataka
1824,Honda,City,,2016,Automatic,Petrol,"26,663 km",1st,"8,50,000",karnataka
1825,Hyundai,Grand i10,,2013,Manual,Petrol,"64,000 km",1st,"4,10,000",karnataka
1826,Chevrolet,Tavera,,2016,Manual,Diesel,"200,000 km",2nd,"6,50,000",karnataka
1827,Tata,Indica V2,,2016,Manual,Diesel,"72,000 km",1st,"1,30,000",karnataka
1828,Hyundai,Accent,,2004,Manual,Petrol,"20,000 km",3rd,"1,22,000",karnataka
1829,Hyundai,i20,,2017,Manual,Diesel,"52,000 km",1st,"7,75,000",karnataka
1830,Toyota,Etios Liva,,2015,Manual,Diesel,"81,000 km",1st,"5,50,000",karnataka
1831,Toyota,Etios,,2018,Manual,Diesel,"82,661 km",1st,"5,50,000",karnataka
1832,Toyota,Etios,,2011,Manual,Petrol,"75,000 km",2nd,"3,95,000",karnataka
1833,Fiat,Palio,,2009,Manual,Petrol,"77,000 km",1st,"1,35,000",karnataka
1834,Tata,Tiago,,2019,Automatic,Petrol,"7,800 km",1st,"6,00,000",karnataka
1835,Maruti Suzuki,Wagon R,,2006,Manual,Petrol,"65,000 km",1st,"1,90,000",karnataka
1836,Tata,Nano,,2017,Manual,Petrol,"53,000 km",2nd,"2,15,000",karnataka
1837,Maruti Suzuki,Omni,,1998,Automatic,Petrol,"17,000 km",3rd,"1,15,000",karnataka
1838,Honda,City,,2014,Manual,Diesel,"87,923 km",-,"5,85,000",karnataka
1839,Hyundai,Santro,,2001,Manual,Petrol,"76,500 km",2nd,"1,15,000",karnataka
1840,Hyundai,Grand i10,,2016,Manual,Petrol,"65,425 km",-,"4,91,000",karnataka
1841,Honda,City ZX,,2007,Manual,Petrol,"76,000 km",2nd,"2,45,000",karnataka
1842,Volkswagen,Polo,,2020,Manual,Petrol,"9,000 km",1st,"6,95,000",karnataka
1843,Hyundai,Fluidic Verna,,2019,Manual,Petrol,"13,000 km",2nd,"10,99,000",karnataka
1844,Mahindra,Scorpio,,2011,Manual,Diesel,"111,000 km",1st,"6,00,000",karnataka
1845,Nissan,Micra,,2011,Manual,Diesel,"68,300 km",1st,"3,45,000",karnataka
1846,Honda,City,,2012,Automatic,Petrol,"95,668 km",1st,"6,35,000",karnataka
1847,Maruti Suzuki,Alto,,2004,Manual,Petrol,"144,000 km",4th,"1,15,000",karnataka
1848,Kia,Others,,2020,Manual,Diesel,"9,645 km",1st,"12,90,000",karnataka
1849,Hyundai,EON,,2013,Manual,Petrol,"60,000 km",2nd,"2,40,000",karnataka
1850,Maruti Suzuki,Omni,,2017,Manual,Petrol,"65,000 km",1st,"2,78,000",karnataka
1851,Maruti Suzuki,Swift,,2015,Manual,Petrol,"39,000 km",2nd,"5,00,000",karnataka
1852,Maruti Suzuki,Swift,,2018,Automatic,Petrol,"26,000 km",2nd,"6,95,000",karnataka
1853,Maruti Suzuki,Alto,,2009,Manual,Petrol,"68,200 km",1st,"2,25,000",karnataka
1854,Hyundai,i10,,2010,Manual,Petrol,54 km,1st,"3,25,000",karnataka
1855,Maruti Suzuki,Zen,,1998,Manual,Petrol,"110,000 km",4+,"75,000",karnataka
1856,Chevrolet,Cruze,,2010,Manual,Diesel,"50,000 km",1st,"2,95,000",karnataka
1857,Hyundai,Santro Xing,,2004,Manual,Petrol,"116,522 km",4th,"1,05,000",karnataka
1858,Toyota,Etios,,2011,Manual,Petrol,"39,000 km",1st,"3,90,000",karnataka
1859,Hyundai,i20,,2013,Manual,Petrol,"89,000 km",1st,"4,55,000",karnataka
1860,Maruti Suzuki,Wagon R,,2006,Manual,Petrol,"76,000 km",2nd,"1,85,000",karnataka
