,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1048,Maruti Suzuki,Swift,,2008,Manual,Diesel,"105,000 km",2nd,"3,20,000",Chennai
1049,Maruti Suzuki,Omni,,2011,Manual,Petrol,"20,100 km",2nd,"2,15,000",Chennai
1050,Maruti Suzuki,Wagon R,,2014,Automatic,Petrol,"50,000 km",1st,"3,50,000",Chennai
1051,Tata,Tiago,,2018,Manual,Petrol,"42,000 km",2nd,"4,00,000",Chennai
1052,Maruti Suzuki,800,,2001,Manual,LPG,"100,000 km",2nd,"55,000",Chennai
1053,Tata,Indica,,2005,Manual,Diesel,"100,000 km",2nd,"1,00,000",Chennai
1054,Mahindra,Jeep,,1999,Manual,Diesel,"80,000 km",1st,"1,60,000",Chennai
1055,Tata,Sumo,,1997,Automatic,Diesel,"100,000 km",3rd,"80,000",Chennai
1056,Honda,City,,2016,Automatic,Petrol,"35,000 km",1st,"8,89,999",Chennai
1057,Maruti Suzuki,Omni,,1998,Manual,LPG,"50,000 km",3rd,"74,999",Chennai
1058,Toyota,Etios,,2018,Manual,Diesel,"65,000 km",1st,"7,90,000",Chennai
1059,Skoda,Rapid,,2013,Manual,Diesel,"98,300 km",3rd,"5,10,000",Chennai
1060,Maruti Suzuki,Alto 800,,2018,Manual,Petrol,"13,000 km",1st,"3,45,000",Chennai
1061,Ford,Freestyle,,2018,Manual,Petrol,"20,807 km",1st,"6,60,000",Chennai
1062,Honda,City,,2013,Manual,Petrol,"64,249 km",2nd,"4,55,000",Chennai
1063,Hyundai,Santro Xing,,2007,Manual,Petrol,"65,000 km",3rd,"95,000",Chennai
1064,Maruti Suzuki,Swift,,2020,Automatic,Diesel,"22,500 km",1st,"10,50,000",Chennai
1065,Maruti Suzuki,Swift Dzire,,2010,Manual,Diesel,"160,000 km",1st,"3,40,000",Chennai
1066,Toyota,Etios,,2017,Manual,Diesel,"30,494 km",1st,"7,90,000",Chennai
1067,Renault,Duster,,2013,Manual,Diesel,"80,000 km",1st,"6,25,000",Chennai
1068,Volkswagen,Vento,,2015,Manual,Diesel,"122,000 km",1st,"6,45,000",Chennai
1069,Hyundai,i10,,2008,Manual,Petrol,"62,000 km",2nd,"2,24,999",Chennai
1070,Maruti Suzuki,Swift,,2013,Manual,Diesel,"56,000 km",1st,"4,25,000",Chennai
1071,Mahindra,XUV500,,2011,Manual,Diesel,"130,000 km",3rd,"6,10,000",Chennai
1072,Hyundai,Santro,,1999,Manual,LPG,"72,000 km",2nd,"90,000",Chennai
1073,Maruti Suzuki,Wagon R,,2009,Manual,Petrol,"90,246 km",2nd,"1,90,000",Chennai
1074,Maruti Suzuki,Ciaz,,2020,Automatic,Petrol,"13,000 km",1st,"11,48,999",Chennai
1075,Nissan,Micra,,2013,Manual,Diesel,"34,000 km",1st,"3,95,000",Chennai
1076,Toyota,Fortuner,,2011,Manual,Diesel,"160,000 km",3rd,"10,85,000",Chennai
1077,Mahindra,Xylo,,2009,Manual,Diesel,"130,000 km",2nd,"5,00,000",Chennai
1078,Hyundai,i20,,2009,Manual,Petrol,"45,000 km",2nd,"3,29,999",Chennai
1079,Toyota,Fortuner,,2014,-,Diesel,"91,000 km",1st,"17,00,000",Chennai
1080,Maruti Suzuki,Ertiga,,2019,Manual,Petrol,"12,000 km",1st,"9,40,000",Chennai
1081,Toyota,Innova,,2013,Manual,Diesel,"200,000 km",1st,"6,80,000",Chennai
1082,Chevrolet,Cruze,,2010,Manual,Diesel,"88,515 km",1st,"5,00,000",Chennai
1083,Hyundai,i10,,2011,Automatic,Petrol,"49,000 km",2nd,"3,25,000",Chennai
1084,Toyota,Etios,,2012,Automatic,Petrol,"9,600 km",1st,"4,90,000",Chennai
1085,Hyundai,i10,,2011,Automatic,Petrol,"80,000 km",1st,"3,25,000",Chennai
1086,Toyota,Innova,,2015,Manual,Diesel,"140,000 km",1st,"13,95,000",Chennai
1087,Hyundai,i10,,2008,Manual,Petrol,"85,000 km",3rd,"2,30,000",Chennai
1088,Chevrolet,Spark,,2007,Manual,Petrol,"80,000 km",1st,"1,25,000",Chennai
