,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1290,Hyundai,EON,,2014,Manual,Petrol,"56,000 km",1st,"2,65,000",kerala
1291,Toyota,Innova,,2012,Manual,Diesel,"75,000 km",1st,"7,35,000",kerala
1292,Maruti Suzuki,Wagon R,,2011,Manual,Petrol,"133,000 km",3rd,"2,40,000",kerala
1293,Hyundai,Elite i20,,2017,Manual,Diesel,"85,000 km",2nd,"6,50,000",kerala
1294,Tata,Indica V2 Xeta,,2008,Manual,Petrol,"49,906 km",1st,"90,000",kerala
1295,Maruti Suzuki,Wagon R,,2016,Manual,Petrol,"76,000 km",2nd,"3,45,000",kerala
1296,Maruti Suzuki,Alto,,2010,Manual,Petrol,"150,000 km",1st,"1,29,000",kerala
1297,Maruti Suzuki,800,,2002,Manual,Petrol,"60,000 km",2nd,"40,000",kerala
1298,-,-,,-,-,-,-,-,-,kerala
1299,Maruti Suzuki,Wagon R,,2008,Manual,Petrol,"78,000 km",2nd,"1,70,000",kerala
1300,Mahindra,Thar,,2017,Manual,Diesel,"30,000 km",-,"8,90,000",kerala
1301,BMW,3 Series,,2010,Automatic,Diesel,"89,000 km",2nd,"9,50,000",kerala
1302,BMW,X5,,2017,Automatic,Diesel,"45,000 km",1st,"62,00,000",kerala
1303,Ford,Fiesta,,2007,Manual,Diesel,"140,000 km",2nd,"1,50,000",kerala
1304,Maruti Suzuki,Wagon R 1.0,,2019,Manual,Petrol,"11,000 km",1st,"5,15,000",kerala
1305,Maruti Suzuki,800,,1997,Manual,Petrol,"69,644 km",3rd,"50,000",kerala
1306,Renault,Duster,,2019,Manual,Diesel,"28,000 km",1st,"8,40,000",kerala
1307,Chevrolet,Beat,,2011,Manual,Diesel,"75,000 km",2nd,"1,40,000",kerala
1308,Maruti Suzuki,Ritz,,2016,Manual,Diesel,"40,000 km",1st,"2,50,000",kerala
1309,Maruti Suzuki,Alto 800,,2013,Manual,Petrol,"14,000 km",1st,"2,10,000",kerala
1310,Maruti Suzuki,Swift,,2018,Automatic,Diesel,"10,000 km",1st,"3,75,000",kerala
1311,Maruti Suzuki,Wagon R,,2004,Manual,Petrol,"120,000 km",2nd,"1,15,000",kerala
1312,Hyundai,EON,,2011,Manual,Petrol,"81,339 km",2nd,"1,90,000",kerala
1313,Maruti Suzuki,Swift Dzire Tour,,2014,Manual,Diesel,"246,000 km",1st,"2,45,000",kerala
1314,Maruti Suzuki,800,,2016,Manual,Petrol,"49,000 km",2nd,"2,62,500",kerala
1315,Maruti Suzuki,800,,2004,Manual,Petrol,"36,500 km",1st,"45,000",kerala
1316,Datsun,GO,,2014,Manual,Petrol,"29,622 km",1st,"1,85,000",kerala
1317,Ashok Leyland,Stile,,2018,Manual,Diesel,"33,000 km",2nd,"6,75,000",kerala
1318,Maruti Suzuki,Swift,,2006,Manual,Petrol,"99,500 km",3rd,"2,00,000",kerala
1319,Tata,Indica,,2021,Manual,Diesel,0 km,1st,"15,000",kerala
1320,Maruti Suzuki,Alto 800,,2017,Manual,Petrol,"16,852 km",1st,"3,35,000",kerala
1321,Jaguar,XF,,2015,Automatic,Diesel,"53,000 km",2nd,"28,00,000",kerala
1322,Maruti Suzuki,Alto 800,,2014,Manual,Petrol,"41,000 km",2nd,"2,40,000",kerala
1323,Maruti Suzuki,A-Star,,2009,Manual,Petrol,"95,000 km",2nd,"1,52,000",kerala
1324,Maruti Suzuki,Alto,,2005,Manual,Petrol,"90,000 km",3rd,"90,000",kerala
1325,Maruti Suzuki,Swift Dzire,,2017,Manual,Petrol,"86,000 km",1st,"5,85,000",kerala
1326,Maruti Suzuki,800,,2003,Manual,Petrol,1 km,3rd,"65,000",kerala
1327,Ford,Figo,,2016,Manual,Diesel,"29,000 km",1st,"5,10,000",kerala
1328,-,-,,-,-,-,-,-,-,kerala
1329,Maruti Suzuki,Swift Dzire Tour,,2016,-,-,"100,000 km",1st,"3,60,000",kerala
1330,Jeep,Compass,,2019,Manual,Petrol,"23,000 km",1st,"18,00,000",kerala
1331,Hyundai,Xcent,,2014,Manual,Diesel,"114,000 km",1st,"3,60,000",kerala
1332,Maruti Suzuki,Omni,,2000,Manual,Petrol,85 km,4th,"62,000",kerala
1333,Hyundai,Accent,,2006,Manual,Petrol,"91,000 km",1st,"1,00,000",kerala
1334,Mahindra,Bolero Power Plus,,2015,Manual,Diesel,"73,254 km",2nd,"6,77,000",kerala
1335,Mahindra,Scorpio,,2009,Manual,Diesel,"110,000 km",1st,"4,00,000",kerala
1336,Maruti Suzuki,Alto,,2001,Manual,Petrol,"87,000 km",1st,"70,000",kerala
1337,Volkswagen,Polo,,2015,Manual,Diesel,"89,468 km",2nd,"6,30,000",kerala
1338,Mahindra,XUV500,,2018,Automatic,Diesel,"81,000 km",1st,"16,50,000",kerala
1339,Maruti Suzuki,Alto,,2002,Manual,Petrol,"160,000 km",3rd,"75,000",kerala
1340,Ambassador,Ambassador,,2007,Manual,Diesel,"80,000 km",1st,"75,000",kerala
1341,Hyundai,i20,,2020,Manual,Petrol,"3,500 km",1st,"7,85,000",kerala
1342,Chevrolet,Beat,,2013,Manual,Diesel,"85,895 km",3rd,"1,38,000",kerala
1343,Maruti Suzuki,Stingray,,2015,Manual,Petrol,"74,500 km",2nd,"3,30,000",kerala
1344,Toyota,Corolla,,2009,Manual,Petrol,"74,000 km",2nd,"3,11,000",kerala
1345,Honda,Jazz,,2018,Manual,Petrol,"20,000 km",1st,"7,00,000",kerala
1346,Maruti Suzuki,800,,2001,Manual,Petrol,"97,500 km",2nd,"47,000",kerala
1347,Mitsubishi,Lancer,,2005,Manual,Diesel,1 km,1st,"1,25,000",kerala
1348,Maruti Suzuki,800,,2001,Manual,Petrol,"67,000 km",2nd,"46,000",kerala
1349,Other Brands,Others,,2021,Manual,CNG & Hybrids,0 km,2nd,"6,00,000",kerala
1350,Volkswagen,Polo,,2018,Manual,Petrol,"18,678 km",2nd,"6,50,000",kerala
1351,Mahindra,Scorpio,,2008,Manual,Diesel,"185,000 km",1st,"3,50,000",kerala
1352,Ford,Figo,,2020,Manual,Diesel,"12,000 km",1st,"7,25,000",kerala
1353,Maruti Suzuki,Zen,,1998,Manual,Petrol,"54,000 km",3rd,"52,000",kerala
1354,Mahindra,Jeep,,2004,Manual,Diesel,"110,000 km",2nd,"2,99,999",kerala
1355,Maruti Suzuki,Alto 800,,2017,Manual,Petrol,"9,500 km",2nd,"2,35,000",kerala
1356,Renault,KWID,,2016,Manual,Petrol,"56,324 km",2nd,"2,75,000",kerala
1357,Hyundai,i10,,2011,Manual,Petrol,82 km,2nd,"2,80,000",kerala
1358,Maruti Suzuki,Wagon R,,2003,Manual,Petrol,"10,000 km",2nd,"1,05,000",kerala
